Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Bruce Brown,FG3M,0.5,0.66,0.4,(0.66 × 0.5) + (0.4 × 0.5) = 0.53,0.53,0.96,-0.03,-0.03,NO PLAY,N/A,fanatics,-140,105
Jalen Brunson,FG3M,2.5,2.34,2.6,(2.34 × 0.5) + (2.6 × 0.5) = 2.47,2.47,1.79,0.03,0.02,NO PLAY,N/A,fanduel,106,-136
Tobias Harris,FG3M,1.5,1.25,1.8,(1.25 × 0.5) + (1.8 × 0.5) = 1.52,1.52,1.32,-0.02,-0.02,NO PLAY,N/A,fanduel,138,-186
Jaylen Wells,FG3M,1.5,1.75,1.2,(1.75 × 0.5) + (1.2 × 0.5) = 1.47,1.47,1.59,0.03,0.02,NO PLAY,N/A,fanduel,-132,100
Keegan Murray,AST,1.5,1.43,1.6,(1.43 × 0.5) + (1.6 × 0.5) = 1.52,1.52,1.09,-0.02,-0.02,NO PLAY,N/A,fanatics,115,-150
Jose Alvarado,REB,2.5,2.43,2.6,(2.43 × 0.5) + (2.6 × 0.5) = 2.51,2.51,1.99,-0.01,-0.01,NO PLAY,N/A,fanduel,-102,-130
Trey Murphy III,FG3M,2.5,2.98,2.0,(2.98 × 0.5) + (2.0 × 0.5) = 2.49,2.49,1.62,0.01,0.01,NO PLAY,N/A,fanduel,-154,116
Bilal Coulibaly,AST,2.5,3.37,1.6,(3.37 × 0.5) + (1.6 × 0.5) = 2.49,2.49,2.27,0.01,0.01,NO PLAY,N/A,fanduel,-148,112
Coby White,PTS,20.5,20.39,20.8,(20.39 × 0.5) + (20.8 × 0.5) = 20.6,20.6,8.45,-0.1,-0.01,NO PLAY,N/A,fanatics,-125,-105
Gary Trent Jr.,FG3M,2.5,2.43,2.6,(2.43 × 0.5) + (2.6 × 0.5) = 2.52,2.52,1.7,-0.02,-0.01,NO PLAY,N/A,fanduel,112,-148
